METRO_AREA,STATE,LAT,LON,TOTAL,NAT_RES,CONSTRUCTION,DURABLE,NONDURABLE,RETAIL,TRANSPORT,INFORMATION,FINANCE,BUSINESS,SOCIAL,ARTS_ENT,GOVERNMENT,OTHER
Baltimore-Columbia-Towson,MD,39.257179,-76.7318533,1.4,(D),(D),-0.27,-0.01,0.24,-0.03,0.02,0.86,0.51,0.17,0.11,0,-0.1
Bangor,ME,44.8011821,-68.7778138,-1.1,0.08,-0.01,-0.07,-0.97,-0.02,-0.48,-0.1,-0.39,0.94,0.25,-0.07,-0.13,-0.09
Barnstable Town,MA,41.7070509,-70.2964209,0.1,-0.03,-0.09,0.18,-0.01,0.2,-0.08,-0.08,-0.36,0.05,0.11,0.15,0.06,0.04
Baton Rouge,LA,30.4504036,-91.1871141,3.4,(D),(D),0.22,2.98,0.05,(D),0.18,0.11,(D),0.23,0.04,0.04,-0.41
Battle Creek,MI,42.3128245,-85.1425426,0.5,-0.18,-0.05,0.43,-3.57,2.85,-0.03,0.26,-0.39,0.91,0.37,-0.02,0.04,-0.1
Bay City,MI,43.5944677,-83.8888647,-2.8,-0.54,-0.17,0.33,0.28,-0.05,-0.17,0.06,-0.38,-0.36,0.18,-1.55,-0.37,-0.08
Beaumont-Port Arthur,TX,30.0782484,-94.1199832,5.7,0.03,0.33,0.24,3.16,0.33,0.36,0.07,0.06,0.79,(D),0.05,0.15,0.05
Beckley,WV,37.773757,-81.1915439,2.5,4.57,-0.32,-0.33,0.15,-0.66,-0.17,-0.03,-0.11,-0.18,-0.16,-0.04,-0.09,-0.1
Bellingham,WA,48.7425264,-122.4623723,3.2,-0.15,-0.27,0.12,3.15,0.33,-0.07,-0.38,-0.58,0.34,0.39,0.08,0.11,0.09
Bend-Redmond,OR,44.2765685,-121.173246,5.9,0.01,1.34,0.02,0.15,0.49,0.58,0.4,0.37,0.8,1,0.37,0.17,0.2
Billings,MT,45.7701745,-108.5278692,5.3,-0.22,-0.81,0.1,4.52,0.35,0.18,(D),0.11,0.48,0.08,0.2,0.04,-0.01
Binghamton,NY,42.0986867,-75.9179738,-0.4,-0.04,-0.46,0.1,0.05,0.14,0.02,0.39,-0.44,-0.09,-0.06,0.05,-0.05,0.01
Birmingham-Hoover,AL,32.7075816,-86.4877423,1.3,-0.28,-0.24,0.11,0.48,(D),(D),-0.07,1.24,0,0.22,(D),(D),0
Bismarck,ND,46.8054125,-100.7831022,7.6,(D),0.36,(D),(D),(D),0.77,-0.01,1.08,1.28,0.82,0.16,0.08,0.27
